front,back,correct,incorrect
the season,la temporada,1,1
the running of the bulls,el encierro,1,1
the crowd,la peña,2,1
the rocket,el txupinazo,1,1
the dawn,el amanecer,1,1
the patron saint,el patrono,1,1
the road,el camino,1,1
the festival with bull-running,los sanfermines,1,1
the tedium/boredom,el tedio,1,1
the mayor,el alcalde,1,1
the town counselor,el consejale,1,1
the town hall,el ayuntamiento,1,1
the start,el inicio,1,1
the debauchery,el desenfreno,1,1
the foreigner,el extranjero,1,1
the singing/song,el canto,2,1
the red scarf,la pañoleta,1,1
the runners,los corredores,1,1
the truck,el camíon,1,1
the wounded,el herido,1,1
the goring,la cornada,1,1
the legs/paws,las patas,2,1
the parade,el desfile,1,1
the dead person,el muerto,1,1
the death,la muerte,1,1
the casualties,las bajas,2,1
the waste,el derroche,1,1
the courage,el coraje,1,1
the bullfight,la corrida de toros,1,1
the nap,la siesta,1,1
the shade,la sombra,1,1
the spectator,el espectador,1,1
the fountain,la fuente,1,1
the revelry,el jolgorio,1,1
the farewell,la despedida,1,1
to go back to,remontarse a,1,1
to charge at/attack,arremeter,1,1
to surrender,entregarse,1,1
to extend/last,extenderse,1,1
to yell,gritar,1,1
to celebrate,festejar,1,1
to give value,darse valor,1,1
to start,iniciar,1,1
to dodge/avoid,esquivar,1,1
to walk toward,dirigirse a,1,1
to be carried out,efectuarse,1,1
to be entrusted to,encomendarse a,1,1
to be missing,faltar,1,1
to enjoy,recrearse,1,1
to throw onself,arrojarse,1,1
to meet with/find,encontrarse con,1,1
to end,acabarse,1,1
to cancel,suspenderse,1,1
to sing,entonar,1,2
to die,morir,2,1
long live,gora,1,1
it seems like,parece que,1,1
to manage to,llegar a,1,1
maybe/perhaps,quizá,1,1
to play one's luck,jugarse la suerte,1,1
poor me (song),pobre de mí,1,1
pursued,perseguido,1,1
scared,asustado,1,1
daily,cotidiano,1,1
anguished/agonizing,angustioso,1,1
arduous/hard,arduo,1,1
