front,back
the season,la temporada
the running of the bulls,el encierro
the crowd,la peña
the rocket,el txupinazo
the dawn,el amanecer
the patron saint,el patrono
the road,el camino
the festival with bull-running,los sanfermines
the tedium/boredom,el tedio
the mayor,el alcalde
the town counselor,el consejale
the town hall,el ayuntamiento
the start,el inicio
the debauchery,el desenfreno
the foreigner,el extranjero
the singing/song,el canto
the red scarf,la pañoleta
the runners,los corredores
the truck,el camíon
the wounded,el herido
the goring,la cornada
the legs/paws,las patas
the parade,el desfile
the dead person,el muerto
the death,la muerte
the casualties,las bajas
the waste,el derroche
the courage,el coraje
the bullfight,la corrida de toros
the nap,la siesta
the shade,la sombra
the spectator,el espectador
the fountain,la fuente
the revelry,el jolgorio
the farewell,la despedida
to go back to,remontarse a
to charge at/attack,arremeter
to surrender,entregarse
to extend/last,extenderse
to yell,gritar
to celebrate,festejar
to give value,darse valor
to start,iniciar
to dodge/avoid,esquivar
to walk toward,dirigirse a
to be carried out,efectuarse
to be entrusted to,encomendarse a
to be missing,faltar
to enjoy,recrearse
to throw onself,arrojarse
to meet with/find,encontrarse con
to end,acabarse
to cancel,suspenderse
to sing,entonar
to die,morir
long live,gora
it seems like,parece que
to manage to,llegar a
maybe/perhaps,quizá
to play one's luck,jugarse la suerte
poor me (song),pobre de mí
pursued,perseguido
scared,asustado
daily,cotidiano
anguished/agonizing,angustioso
arduous/hard,arduo
